sample_id,split,feature_path,num_frames,feature_dim
negative_000155,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000155.npy,50,512
negative_000157,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000157.npy,50,512
negative_000178,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000178.npy,50,512
negative_000182,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000182.npy,50,512
negative_000183,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000183.npy,50,512
negative_000186,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000186.npy,50,512
negative_000187,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000187.npy,50,512
negative_000188,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000188.npy,50,512
negative_000196,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000196.npy,50,512
negative_000202,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000202.npy,50,512
negative_000203,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000203.npy,50,512
negative_000206,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000206.npy,50,512
negative_000210,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000210.npy,50,512
negative_000211,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000211.npy,50,512
negative_000214,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000214.npy,50,512
negative_000218,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000218.npy,50,512
negative_000219,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000219.npy,50,512
negative_000221,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000221.npy,50,512
negative_000227,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000227.npy,50,512
negative_000247,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000247.npy,50,512
negative_000251,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000251.npy,50,512
negative_000255,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000255.npy,50,512
negative_000258,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000258.npy,50,512
negative_000268,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000268.npy,50,512
negative_000274,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000274.npy,50,512
negative_000275,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000275.npy,50,512
negative_000277,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000277.npy,50,512
negative_000280,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000280.npy,50,512
negative_000282,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000282.npy,50,512
negative_000283,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000283.npy,50,512
negative_000285,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000285.npy,50,512
negative_000286,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000286.npy,50,512
negative_000291,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000291.npy,50,512
negative_000292,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000292.npy,50,512
negative_000295,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000295.npy,50,512
negative_000299,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000299.npy,50,512
negative_000305,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000305.npy,50,512
negative_000307,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000307.npy,50,512
negative_000311,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000311.npy,50,512
negative_000313,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000313.npy,50,512
negative_000315,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000315.npy,50,512
negative_000316,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000316.npy,50,512
negative_000319,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000319.npy,50,512
negative_000321,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000321.npy,50,512
negative_000322,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000322.npy,50,512
negative_000333,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000333.npy,50,512
negative_000346,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000346.npy,50,512
negative_000353,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000353.npy,50,512
negative_000363,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000363.npy,50,512
negative_000365,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000365.npy,50,512
negative_000374,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000374.npy,50,512
negative_000377,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000377.npy,50,512
negative_000390,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000390.npy,50,512
negative_000393,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000393.npy,50,512
negative_000395,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000395.npy,50,512
negative_000396,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000396.npy,50,512
negative_000397,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000397.npy,50,512
negative_000400,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000400.npy,50,512
negative_000403,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000403.npy,50,512
negative_000404,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000404.npy,50,512
negative_000417,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000417.npy,50,512
negative_000419,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000419.npy,50,512
negative_000421,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000421.npy,50,512
negative_000425,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000425.npy,50,512
negative_000426,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000426.npy,50,512
negative_000429,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000429.npy,50,512
negative_000430,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000430.npy,50,512
negative_000436,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000436.npy,50,512
negative_000437,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000437.npy,50,512
negative_000442,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000442.npy,50,512
negative_000447,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000447.npy,50,512
negative_000457,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000457.npy,50,512
negative_000460,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000460.npy,50,512
negative_000463,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000463.npy,50,512
negative_000471,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000471.npy,50,512
negative_000480,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000480.npy,50,512
negative_000485,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000485.npy,50,512
negative_000495,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000495.npy,50,512
negative_000511,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000511.npy,50,512
negative_000519,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000519.npy,50,512
negative_000527,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000527.npy,50,512
negative_000533,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000533.npy,50,512
negative_000534,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000534.npy,50,512
negative_000539,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000539.npy,50,512
negative_000544,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000544.npy,50,512
negative_000552,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000552.npy,50,512
negative_000560,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000560.npy,50,512
negative_000561,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000561.npy,50,512
negative_000562,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000562.npy,50,512
negative_000572,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000572.npy,50,512
negative_000575,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000575.npy,50,512
negative_000577,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000577.npy,50,512
negative_000586,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000586.npy,50,512
negative_000588,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000588.npy,50,512
negative_000607,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000607.npy,50,512
negative_000613,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000613.npy,50,512
negative_000618,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000618.npy,50,512
negative_000621,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000621.npy,50,512
negative_000636,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000636.npy,50,512
negative_000638,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000638.npy,50,512
negative_000642,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000642.npy,50,512
negative_000643,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000643.npy,50,512
negative_000648,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000648.npy,50,512
negative_000649,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000649.npy,50,512
negative_000650,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000650.npy,50,512
negative_000655,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000655.npy,50,512
negative_000659,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000659.npy,50,512
negative_000660,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000660.npy,50,512
negative_000663,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000663.npy,50,512
negative_000664,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000664.npy,50,512
negative_000674,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000674.npy,50,512
negative_000678,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000678.npy,50,512
negative_000686,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000686.npy,50,512
negative_000692,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000692.npy,50,512
negative_000693,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000693.npy,50,512
negative_000695,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000695.npy,50,512
negative_000701,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000701.npy,50,512
negative_000704,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000704.npy,50,512
negative_000707,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000707.npy,50,512
negative_000713,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000713.npy,50,512
negative_000715,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000715.npy,50,512
negative_000716,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000716.npy,50,512
negative_000722,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000722.npy,50,512
negative_000724,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000724.npy,50,512
negative_000730,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000730.npy,50,512
negative_000731,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000731.npy,50,512
negative_000744,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000744.npy,50,512
negative_000752,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000752.npy,50,512
negative_000755,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000755.npy,50,512
negative_000770,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000770.npy,50,512
negative_000773,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000773.npy,50,512
negative_000774,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000774.npy,50,512
negative_000780,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000780.npy,50,512
negative_000782,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000782.npy,50,512
negative_000787,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000787.npy,50,512
negative_000789,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000789.npy,50,512
negative_000802,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000802.npy,50,512
negative_000803,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000803.npy,50,512
negative_000804,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000804.npy,50,512
negative_000807,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000807.npy,50,512
